Date,Open,High,Low,Close,Volume
10/5/06 16:00,11735.36,11784.52,11618.12,11750,228276400
10/6/06 16:00,11695.7,11750,11641.12,11690.89,178270688
10/10/06 16:00,11716.64,11757.75,11690.89,11755.15,180168080
10/11/06 16:00,11782.4,11784.43,11619.14,11619.14,250893136
10/12/06 16:00,11667.42,11719.09,11619.14,11719.09,194297872
10/13/06 16:00,11754.61,11908.57,11719.09,11908.57,223986016
10/16/06 16:00,11947.41,12072.26,11908.57,12061.54,196978528
10/17/06 16:00,12075.84,12075.84,11914.77,11996.63,189579744
10/18/06 16:00,12044.7,12066.35,11917.97,11966,201327408
10/19/06 16:00,11974.34,12072.91,11966,12060.62,222364016
10/20/06 16:00,12103.84,12103.84,12005.55,12035.57,178457328
10/23/06 16:00,12027.91,12120.58,11999.88,12119.15,226537104
10/24/06 16:00,12109.63,12195.54,12071.76,12195.54,248350720
10/25/06 16:00,12184.82,12354.09,12133,12341.65,268108576
10/26/06 16:00,12371.48,12415.92,12331.71,12335.68,231943440
10/27/06 16:00,12324.15,12374.54,12268.86,12268.86,160467712
10/30/06 16:00,12260.32,12287.01,12206.47,12274.4,210582048
10/31/06 16:00,12248.22,12358.85,12246.14,12344.59,231740384
11/1/06 16:00,12023.3,12344.59,12002.6,12050.39,322282816
11/2/06 16:00,12071.99,12149.37,12015.87,12130.73,283871488
11/3/06 16:00,12197.36,12251.49,12130.73,12239.04,225041856
11/6/06 16:00,12294.24,12377.6,12239.04,12333.28,309398272
11/7/06 16:00,12379.35,12394.83,12298.54,12310.21,252508368
11/8/06 16:00,12307.49,12378.2,12295.56,12378.2,268743744
11/9/06 16:00,12418.51,12480.16,12378.2,12410.23,260630192
11/10/06 16:00,12397.34,12417.06,12316.43,12340.47,178268432
11/13/06 16:00,12316.59,12340.47,12262.68,12309.4,187466112
11/14/06 16:00,12346.38,12361.88,12249.98,12279.59,213323136
11/15/06 16:00,12283.23,12436.28,12279.5,12425.37,227454720
11/16/06 16:00,12492.49,12528.51,12364.27,12365.85,219098496
11/17/06 16:00,12351.7,12401.81,12246.53,12372.87,188020400
11/20/06 16:00,12367.22,12470.32,12360.97,12416.63,188060816
